Variable,Measure,COU,Country,Year,Value
Diabetes mellitus,Number of total deaths,AUT,Austria,2015,3463
Diabetes mellitus,Number of total deaths,AUT,Austria,2016,3300
Mental and behavioural disorders,Number of total deaths,AUT,Austria,1993,274
Mental and behavioural disorders,Number of total deaths,AUT,Austria,1994,269
Mental and behavioural disorders,Number of total deaths,AUT,Austria,1995,378
Mental and behavioural disorders,Number of total deaths,AUT,Austria,1996,397
Mental and behavioural disorders,Number of total deaths,AUT,Austria,1997,356
Mental and behavioural disorders,Number of total deaths,AUT,Austria,1998,370
Mental and behavioural disorders,Number of total deaths,AUT,Austria,1999,362
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2000,395
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2001,456
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2002,424
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2003,562
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2004,649
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2005,690
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2006,648
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2007,677
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2008,825
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2009,889
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2010,855
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2011,941
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2012,1231
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2013,1616
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2014,1526
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2015,1772
Mental and behavioural disorders,Number of total deaths,AUT,Austria,2016,2101
Diseases of the nervous system,Number of total deaths,AUT,Austria,1993,1202
Diseases of the nervous system,Number of total deaths,AUT,Austria,1994,1225
Diseases of the nervous system,Number of total deaths,AUT,Austria,1995,1278
Diseases of the nervous system,Number of total deaths,AUT,Austria,1996,1245
Diseases of the nervous system,Number of total deaths,AUT,Austria,1997,1191
Diseases of the nervous system,Number of total deaths,AUT,Austria,1998,1151
Diseases of the nervous system,Number of total deaths,AUT,Austria,1999,1020
